IID,FID,tray,pos,HT1,HT2
1804,NSW_1079803,8,B-2,NA,NA
2038,NSW_1080767,8,C-2,154,262
730,NSW_1079681,8,D-2,3,NA
1492,NSW_1079756,8,E-2,NA,NA
1743,NSW_1079793,8,A-3,NA,NA
5,NSW_1071070,8,B-3,94,145
1443,NSW_1079751,8,C-3,42,84
961,NSW_1079711,8,D-3,82,152
454,NSW_1078645,8,E-3,93,164
1549,NSW_1079763,8,A-4,38,82
843,NSW_1079702,8,B-4,NA,NA
2170,NSW_1080778,8,C-4,NA,NA
667,NSW_1079671,8,D-4,NA,NA
1315,NSW_1079738,8,E-4,37,76
2045,NSW_1080768,8,A-5,58,114
1079,NSW_1079720,8,B-5,29,63
1241,NSW_1079732,8,C-5,NA,NA
830,NSW_1079701,8,D-5,198,266
877,NSW_1079705,8,E-5,NA,NA
2054,NSW_1080769,8,A-6,NA,NA
427,NSW_1078641,8,B-6,184,302
173,NSW_1071143,8,C-6,40,84
769,NSW_1079691,8,D-6,41,108
1588,NSW_1079767,8,E-6,NA,NA
874,NSW_1079703,8,A-7,99,149
510,NSW_1078653,8,B-7,NA,NA
2193,NSW_1080780,8,C-7,118,241
2073,NSW_1080770,8,D-7,74,121
405,NSW_1078640,8,E-7,NA,NA
2114,NSW_1080774,8,A-8,124,192
2366,NSW_1075722,8,B-8,NA,NA
2201,NSW_1080781,8,C-8,59,120
2017,NSW_1080766,8,D-8,NA,NA
1810,NSW_1079803,8,E-8,40,94
2024,NSW_1080766,8,A-9,NA,NA
1034,NSW_1079717,8,B-9,NA,NA
564,NSW_1078658,8,C-9,78,171
1817,NSW_1079804,8,D-9,68,145
495,NSW_1078652,8,E-9,NA,NA
2000,NSW_1080764,8,A-10,14,28
1317,NSW_1079738,8,B-10,28,43
1616,NSW_1079772,8,C-10,20,41
1441,NSW_1079751,8,D-10,38,99
2135,NSW_1080775,8,E-10,90,180
1906,NSW_1079821,9,A-1,NA,NA
1666,NSW_1079778,9,B-1,2,NA
383,NSW_1078636,9,C-1,NA,NA
1486,NSW_1079755,9,D-1,NA,NA
