Sample Number,Well Location,plate,Sample Name,BOX,ROW,COLUMN,Concentration ng/ul
128,H04,2,NSW_1078656,2,3,H,7.95
129,A05,2,NSW_1078713,2,3,I,1.98
130,B05,2,NSW_1078652,2,3,J,10.35
131,C05,2,NSW_1078640,2,4,A,3.33
132,D05,2,NSW_1078646,2,4,B,12.29
133,E05,2,NSW_1080777,2,4,C,6.03
134,F05,2,NSW_1071115,2,4,D,17.55
135,G05,2,NSW_1074339,2,4,E,6.84
136,H05,2,NSW_1071118,2,4,F,10.8
137,A06,2,NSW_1071113,2,4,G,7.37
138,B06,2,NSW_1074334,2,4,H,8.65
139,C06,2,NSW_1079756,2,4,I,21
140,D06,2,NSW_1079751,2,4,J,23.68
141,E06,2,NSW_1079773,2,5,A,22
142,F06,2,NSW_1079804,2,5,B,13.2
143,G06,2,NSW_1079687,2,5,C,6.51
144,H06,2,NSW_1079692,2,5,D,3.85
145,A07,2,NSW_1079671,2,5,E,3.07
146,B07,2,NSW_1079768,2,5,F,27.08
147,C07,2,NSW_1079736,2,5,G,15.72
148,D07,2,NSW_1079705,2,5,H,14.44
149,E07,2,NSW_1079738,2,5,I,21.26
150,F07,2,NSW_1079726,2,5,J,13.85
151,G07,2,NSW_1079772,2,6,A,12.87
152,H07,2,NSW_1079809,2,6,B,11.36
153,A08,2,NSW_1079821,2,6,C,14.42
154,B08,2,NSW_1079686,2,6,D,23.22
155,C08,2,NSW_1074433,2,6,E,17.8
156,D08,2,NSW_1079680,2,6,F,5.46
157,E08,2,NSW_1079670,2,6,G,11.75
158,F08,2,NSW_1074429,2,6,H,26.74
159,G08,2,NSW_1079789,2,6,I,11.02
160,H08,2,NSW_1079707,2,6,J,3.33
161,A09,2,NSW_1079758,2,7,A,10.35
162,B09,2,NSW_1074428,2,7,B,8.34
163,C09,2,NSW_1079808,2,7,C,32.65
164,D09,2,NSW_1079793,2,7,D,9.44
165,E09,2,NSW_1079712,2,7,E,4.91
166,F09,2,NSW_1079675,2,7,F,7.39
167,G09,2,NSW_1079743,2,7,G,24.78
168,H09,2,NSW_1079653,2,7,H,21.96
169,A10,2,NSW_1074423,2,7,I,1.81
170,B10,2,NSW_1079702,2,7,J,3.76
171,C10,2,NSW_1079658,2,8,A,18.37
172,D10,2,NSW_1079763,2,8,B,11.36
173,E10,2,NSW_1079779,2,8,C,32.95
174,F10,2,NSW_1079761,2,8,D,31.28
175,G10,2,NSW_1075713,2,8,E,14.23
176,H10,2,NSW_1075709,2,8,F,16.64
177,A11,2,NSW_1075705,2,8,G,7.84
178,B11,2,NSW_1075706,2,8,H,16.92
179,C11,2,NSW_1075712,2,8,I,15.25
180,D11,2,NSW_1075711,2,8,J,18.61
181,E11,2,NSW_1075704,2,9,A,16.63
182,F11,2,NSW_1075707,2,9,B,14.01
183,G11,2,NSW_1075710,2,9,C,11.59
184,H11,2,NSW_1075708,2,9,D,8.45
185,A12,2,NSW_1075721,2,9,E,5.14
186,B12,2,NSW_1075723,2,9,F,14.62
187,C12,2,NSW_1075722,2,9,G,10.99
188,D12,2,NSW_1075720,2,9,H,13.24
189,E12,2,NSW_1075719,2,9,I,20.52
190,F12,2,NSW_1075718,2,9,J,25.32
191,G12,2,285,2,10,A,2.58
192,H12,2,1689,2,10,B,10.23
193,A01,3,1899,2,10,C,9.18
194,B01,3,2395,2,10,D,11.51
195,C01,3,2271,2,10,E,8.82
196,D01,3,989,2,10,F,6.18
197,E01,3,2351,2,10,G,7.13
198,F01,3,1825,2,10,H,7.71
199,G01,3,89,2,10,I,10.32
200,H01,3,2010,2,10,J,7.35
201,A02,3,737,3,1,A,10.31
202,B02,3,1404,3,1,B,6.95
203,C02,3,572,3,1,C,8.39
204,D02,3,1639,3,1,D,10.95
205,E02,3,381,3,1,E,10.49
206,F02,3,1324,3,1,F,12.91
207,G02,3,197,3,1,G,11.72
208,H02,3,1317,3,1,H,4.94
209,A03,3,797,3,1,I,5.93
210,B03,3,1817,3,1,J,7.78
211,C03,3,564,3,2,A,4.27
212,D03,3,2145,3,2,B,3.83
213,E03,3,1810,3,2,C,6.62
214,F03,3,2201,3,2,D,5.5
215,G03,3,2073,3,2,E,6.24
216,H03,3,2193,3,2,F,7.67
217,A04,3,874,3,2,G,16.41
218,B04,3,1936,3,2,H,9.16
219,C04,3,171,3,2,I,6.89
220,D04,3,769,3,2,J,5.35
221,E04,3,1677,3,3,A,6.85
222,F04,3,415,3,3,B,6.54
223,G04,3,106,3,3,C,5.53
224,H04,3,2104,3,3,D,6.33
225,A05,3,477,3,3,E,9.58
226,B05,3,1779,3,3,F,5.94
227,C05,3,1052,3,3,G,8.92
228,D05,3,269,3,3,H,7.42
229,E05,3,1223,3,3,I,4.14
230,F05,3,2212,3,3,J,6.75
231,G05,3,1045,3,4,A,5.93
232,H05,3,652,3,4,B,4.01
233,A06,3,437,3,4,C,7.18
234,B06,3,2135,3,4,D,6.02
