fieldNumber,fieldSpeciesName,infraSpecificRank,infraSpecificName,otherSpeciesName,altitude,sourceOfCoordinates,coordinatePrecision,coordinateUncertainty,dateCreated,sourceFile,generalNotes,hybridStatus,hybridStatusNotes,archived,nswNumber,sampleDate,bundleNumber,boxNumber,livingCollectionId,populationGeneticsId,collectionNotes,tissueSampleColumn,tissueSampleType,hmNumber,herbariumId,herbariumSpecimenIrn,herbariumSpecimenCollector,herbariumCollectionDate,dateToDart,dartServiceNumber,dartOptimization,dartSequencing,duplicateSampleSent,dartNotes,dateToMtAnnan,destructiveSamplingDate,destructiveSamplingBy,destructiveSamplingSiteName,populationInfoId,phenologyId,eventId,idCurrent,acceptedName,genus,species,provisionalAcceptedStatus,taxonType,locality,nationalPark,natureReserve,peoplePresent,stateConservationArea,stateForest,otherTenure,eventKey,plants10m,adultsPresent,juvenilesPresent,speciesIdConfidence,speciesIdNotes,nativeStatus,populationNotes,reproductiveState,flowers,fruit,dartOrderCount,dartOrderServiceNumbers,projectsString,id,type,date,decimalLongitude,decimalLatitude,geodeticDatum
,Melaleuca quinquenervia,,,,-3.895081,GPS,5.0,4.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1026412,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.4,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002287,phenology-t2sy43f,S1317_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Along Creek Road,,,Joel Cohen; Angus Robinson,,,Council owned,S1317_2018-02-07,between 5 and 20,Yes,Yes,,,,,fertile,,"immature, mature, seed mature, seed immature, seed released",0,,RandR,,,,153.566774,-28.354568,WGS84
,Melaleuca quinquenervia,,,,-7.838196,GPS,5.0,4.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1028530,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.5,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002287,phenology-t2sy43f,S1317_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Along Creek Road,,,Joel Cohen; Angus Robinson,,,Council owned,S1317_2018-02-07,between 5 and 20,Yes,Yes,,,,,fertile,,"immature, mature, seed mature, seed immature, seed released",0,,RandR,,,,153.56647,-28.354457,WGS84
,Melaleuca quinquenervia,,,,-1.299683,GPS,5.0,12.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1027797,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.6,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002287,phenology-t2sy43f,S1317_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Along Creek Road,,,Joel Cohen; Angus Robinson,,,Council owned,S1317_2018-02-07,between 5 and 20,Yes,Yes,,,,,fertile,,"immature, mature, seed mature, seed immature, seed released",0,,RandR,,,,153.56611,-28.354336,WGS84
,Melaleuca quinquenervia,,,,-13.769348,GPS,5.0,3.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1028586,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.1..tap.in.white.space.and.accept.coordinates.,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002288,phenology-h3ql69c,S1314_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Torakina Park,,,Joel Cohen; Angus Robinson,,,,S1314_2018-02-07,more than 20,Yes,Can't tell,,,,,fertile,,"mature, seed mature",0,,RandR,,,,153.555445,-28.544099,WGS84
,Melaleuca quinquenervia,,,,-0.18457,GPS,5.0,8.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1028585,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.2,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002288,phenology-h3ql69c,S1314_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Torakina Park,,,Joel Cohen; Angus Robinson,,,,S1314_2018-02-07,more than 20,Yes,Can't tell,,,,,fertile,,"mature, seed mature",0,,RandR,,,,153.555126,-28.54486,WGS84
,Melaleuca quinquenervia,,,,-15.329468,GPS,10.0,16.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1028584,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.3,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002288,phenology-h3ql69c,S1314_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Torakina Park,,,Joel Cohen; Angus Robinson,,,,S1314_2018-02-07,more than 20,Yes,Can't tell,,,,,fertile,,"mature, seed mature",0,,RandR,,,,153.55475,-28.544891,WGS84
,Melaleuca quinquenervia,,,,-9.376087,GPS,200.0,29.222233,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1028583,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.4,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002288,phenology-h3ql69c,S1314_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Torakina Park,,,Joel Cohen; Angus Robinson,,,,S1314_2018-02-07,more than 20,Yes,Can't tell,,,,,fertile,,"mature, seed mature",0,,RandR,,,,153.554634,-28.545425,WGS84
,Melaleuca quinquenervia,,,,-3.700623,GPS,5.0,12.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1028582,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.5,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002288,phenology-h3ql69c,S1314_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Torakina Park,,,Joel Cohen; Angus Robinson,,,,S1314_2018-02-07,more than 20,Yes,Can't tell,,,,,fertile,,"mature, seed mature",0,,RandR,,,,153.554711,-28.545504,WGS84
,Melaleuca quinquenervia,,,,-15.228088,GPS,10.0,24.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1028581,2018-02-06T13:00:00+00:00,,,,,,Location...genetic.sample.6,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002288,phenology-h3ql69c,S1314_2018-02-07,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Torakina Park,,,Joel Cohen; Angus Robinson,,,,S1314_2018-02-07,more than 20,Yes,Can't tell,,,,,fertile,,"mature, seed mature",0,,RandR,,,,153.554582,-28.545925,WGS84
,Melaleuca quinquenervia,,,,5.368652,GPS,5.0,32.0,2018-02-25 13:00:00+00:00,restore_and_renew downloaded 21feb2018.xls,,,,False,NSW1022335,2018-02-08T13:00:00+00:00,,,,,,Location...genetic.sample.1..tap.in.white.space.and.accept.coordinates.,Tissue,,,,,,2018-06-05 14:00:00+00:00,DMela18-3553,False,False,False,none,,,,,popnInfo002289,phenology-j7ud62o,S1311_2018-02-09,True,Melaleuca quinquenervia,Melaleuca,quinquenervia,n.a.,ALA,Side of Elizabeth Drive,,,Joel Cohen; Angus Robinson,Munmorah State Conservation Area,,,S1311_2018-02-09,between 5 and 20,Yes,Yes,,,,,fertile,,"immature, mature, seed mature, seed immature, seed released",0,,RandR,,,,151.587096,-33.202532,WGS84
