"LIBRARY","Infectio.Type.on.Retested"
"S_2149_S9_L003","0"
"S_2157_S122",";C"
"S_2162_S4_L003","3C"
"S_2167_S81_L003","0"
"S_2177_S11_L003",";C"
"S_2194_S133","2CN"
"S_2195_S129","0"
"S_2198_S47_L003",";C"
"S_2200_S5","0;"
"S_2211_S38_L003",";"
"S_2224_S161","3+"
"S_2225_S110","3"
"S_2233_S80_L003","2CN"
"S_225_S143","0"
"S_2277_S189","2CN"
"S_2285_S158","0"
"S_228_S138",";CN"
"S_2296_S115","0"
"S_229_S24_L003","2CN"
"S_2316_S149",";CN"
"S_2317_S77_L003","3+"
"S_2318_S85","3"
"S_2326_S100","0"
"S_2332_S35_L003","33+"
"S_2335_S96","0"
"S_2341_S56","0"
"S_2344_S156","0"
"S_2346_S152","0"
"S_2362_S55_L003","0"
"S_2386_S67","0"
"S_2387_S147",";CN"
"S_2388_S137","0"
"S_2397_S166","3C"
"S_255_S45","0"
"S_256_S39_L003","0"
"S_274_S192","0"
"S_276_S74",";C"
"S_27_S7",";N"
"S_285_1_S191","3C"
"S_289_S32_L003",";"
"S_292_S80",";C"
"S_295_S46_L003",";CN"
"S_297_S95","3+"
"S_302_S182","3+"
"S_328_S179","2CN"
"S_32_S152","0"
"S_331_S25","0"
"S_334_S137","0"
"S_337_S8","4"
"S_339_S28_L003","0"
"S_341_S162","33+"
"S_344_S160","3C"
"S_357_S87","3+"
"S_358_S153","0"
"S_371_S41_L003",";1CN"
"S_373_S73","0"
"S_377_S12_L003","3+"
"S_385_S62_L003","3+"
"S_393_S135",""
"S_397_S176",";1N"
"S_406_S140","3+"
"S_407_S131","0"
"S_413_S86_L003","0"
"S_419_S1","3+"
"S_41_S124","0"
"S_43_S157",";"
"S_440_S128","0"
"S_450_S135",";CN"
"S_453_S63","0"
"S_454_S71_L003","3C"
"S_469_S119","3+"
"S_474_S89_L003","23CN"
"S_481_S27_L003",";"
"S_483_S160",";"
"S_487_S31",";"
"S_501_S43","0"
"S_509_S109","0"
"S_515_S58","0"
"S_516_S138","0"
"S_517_S20_L003","3+"
"S_522_S10","3+"
"S_524_S33_L003",";"
"S_528_S103","3+"
"S_533_S68","3C"
"S_537_S78_L003","3+"
"S_545_S69","1+CN"
"S_557_S159","0"
"S_565_S149","3C"
"S_567_S165","0"
"S_574_S155","0"
"S_591_S99","3+"
"S_5_S63_L003","3+"
"S_627_S83","3"
"S_629_S113","3+"
"S_630_S51_L003","3+"
"S_631_S87_L003","3+"
"S_63_S170","0"
"S_640_S178","0"
"S_646_S142",";"
"S_650_S129","33+"
"S_653_S6","3C"
"S_656_S181","3C"
"S_657_S154","3+"
"S_658_S33","3+TO4"
"S_65_S29_L003","3+"
"S_662_S98","1C"
"S_673_S40_L003",";"
"S_674_S130","0"
"S_679_S9",";"
"S_685_S121","3C"
"S_695_S46","3+"
"S_696_S88","3+"
"S_706_S108",";C"
"S_711_S50","3+"
"S_712_S136","23C"
"S_713_S163","3+"
"S_714_S34_L003","3C"
"S_726_S69_L003","3+"
"S_733_S67_L003",";1CN"
"S_738_S39","3C"
"S_758_S128","3+"
"S_762_S173","3+"
"S_764_S93_L003","3+"
"S_765_S48","3C"
"S_770_S57_L003",";C"
"S_772_S58_L003","0"
"S_779_S94_L003","0"
"S_7_S141","2CN"
"S_813_S44_L003","3+"
"S_824_S40",";C"
"S_825_S71",";C"
"S_826_S8_L003","3"
"S_837_S50_L003","3+"
"S_83_S14","0"
"S_840_S88_L003","3+"
"S_844_S151","0"
"S_856_S174","3+"
"S_85_S36_L003",";N"
"S_861_S22_L003","3+"
"S_865_S82","3+"
"S_879_S97",";C"
"S_87_S81","3+"
"S_885_S77",";1N"
"S_901_S136",""
"S_932_S42_L003",";C"
"S_961_S70_L003","3C"
"S_962_S42","3+"
"S_969_S19_L003",";"
"S_972_S142","0"
"S_978_S90","0"
"S_983_S4","0"
"S_985_S131",";"
"S_993_S55",";CN"
