Restore & Renew species list (select),Tissue sample barcode,FID,Location Lat,Location Long,Height (m),Rust infection,Leaves and shoot infection %,Rust on leaves and shoots score 1-5,Minor branch dieback,Major branch dieback,Crown density %,Notes
Melaleuca quinquenervia,NSW1079719,NSW_1079719,-32.58144257,152.2852374,14,0,NA,NA,no,no,85,
Melaleuca quinquenervia,NSW1079714,NSW_1079714,-32.58144257,152.2852374,17,0,NA,NA,no,no,70,
Melaleuca quinquenervia,NSW1079733,NSW_1079733,-32.58106381,152.2854511,21,0A,Oct-50,NA,no,no,55,
Melaleuca quinquenervia,NSW1079710,NSW_1079710,-32.40498167,152.4498453,5,0A,5-Oct,NA,no,no,20,by lake
Melaleuca quinquenervia,NSW1079730,NSW_1079730,-32.40517351,152.4501677,17,0A,1-May,NA,no,no,40,
Melaleuca quinquenervia,NSW1079701,NSW_1079701,-32.40648032,152.4517494,14,0A,1-May,NA,no,no,60,
Melaleuca quinquenervia,NSW1079696,NSW_1079696,-32.40652495,152.4517557,7,0,NA,NA,no,no,80,might be planted (in a row in carpark)
Melaleuca quinquenervia,NSW1079711,NSW_1079711,-32.39118881,152.4519771,18,0A,50-90,NA,no,no,40,
Melaleuca quinquenervia,NSW1079686,NSW_1079686,-32.40612129,152.452775,10,0A,Oct-50,NA,no,no,55,
Melaleuca quinquenervia,NSW1079732,NSW_1079732,-32.40455719,152.4550025,22,0A,Oct-50,NA,no,no,45,
Melaleuca quinquenervia,NSW1079725,NSW_1079725,-32.40455938,152.4550092,11,0A,Oct-50,NA,no,no,35,
Melaleuca quinquenervia,NSW1079720,NSW_1079720,-32.40380819,152.4554997,12,0,Oct-50,NA,no,no,55,
Melaleuca quinquenervia,NSW1079691,NSW_1079691,-32.40388962,152.4558823,17,0A,Oct-50,NA,no,no,60,
Melaleuca quinquenervia,NSW1079773,NSW_1079773,-32.25249922,152.5306496,12,0,NA,NA,no,no,90,
Melaleuca quinquenervia,NSW1079778,NSW_1079778,-32.25249091,152.5306509,9,0A,Oct-50,NA,no,no,50,
Melaleuca quinquenervia,NSW1079706,NSW_1079706,-32.25345377,152.5341452,14,0A,50-90,NA,no,no,55,
