"NSWID","sd_COI","sqrt_mean_COI","seedling_number","rust_infection","LeavesShootInfect","latitude","longitude"
"NSW1080768",13.0948917703122,2.61861468283191,7,"0A",0,-30.03595822,153.1971047
"NSW1080770",10.9419463751286,2.57737407895267,7,"0A",0,-30.0364465,153.1972212
"NSW1080771",25.3225031674727,4.83476990145343,4,"0A",0,-30.03812797,153.1965677
"NSW1080772",22.9018675158662,3.78318648760539,8,"0A",0,-30.18911622,153.1615077
"NSW1080773",14.560219778561,3.36650164612069,9,"0A",0,-30.03477256,153.1975396
"NSW1080774",11.2058658108791,2.17124059336724,7,"0A",0,-30.03558083,153.1972502
"NSW1080775",4.59951688284276,1.54919333848297,10,"0A",0,-30.03464414,153.1976471
"NSW1080776",8.08462189042327,1.97202659436654,9,"0A",0,-30.03812084,153.1965746
"NSW1080777",15.8292977313167,3.58236421003411,6,"0A",0,-29.85199418,153.2709712
"NSW1080778",11.8395523564027,3.20156211871642,6,"0A",0,-29.85293685,153.2701393
"NSW1080779",26.5753645318366,3.53553390593274,5,"0A",0,-29.85293715,153.2701373
"NSW1080780",12.5866638607241,3.89711431702997,8,"0A",0,-30.18916854,153.1616169
"NSW1080781",2.27454862084138,1.15108644332213,8,"0A",0,-29.85200872,153.2619853
"NSW1080782",1.74233013109292,1.43924583425785,7,"0A",0,-29.8522382,153.262396
"NSW1080784",11.4236596587959,3.1224989991992,8,"0A",0,-29.85248481,153.2632438
"NSW1080785",NA,2.44948974278318,1,"0A",0,-30.03477256,153.1975396
"NSW1080786",0,0,2,"0A",0,-29.85176414,153.26967
"NSW1080787",6.13731754650732,3.08220700148449,4,"0A",0,-29.85197584,153.2709461
