0.703354,0.705794,0.561581,0.57236,0.772074,0.662516,0.747872,0.585873,0.492215,0.57729,0.741531,0.456829,0.628808,0.690878,0.752907,0.738341,0.737001,0.748522,0.714179,0.753931	0.692723,0.69757,0.541282,0.56033,0.759096,0.655006,0.736859,0.572671,0.471275,0.561498,0.720859,0.445204,0.620735,0.677595,0.740603,0.725762,0.723381,0.732583,0.704779,0.739437	0.0207315,0.0161994,0.0291628,0.0177085,0.031355,0.0132665,0.0245306,0.0198672,0.0272644,0.023367,0.0444121,0.0145934,0.0132413,0.0249755,0.0278113,0.0271006,0.0291729,0.035291,0.0189272,0.0327536
0.0922346,0.1473,0.127772,0.138662,0.105254,0.195336,0.0850016,0.172395,0.136749,0.16611,0.100555,0.15116,0.0912669,0.10887,0.0436232,0.0677501,0.0904922,0.0873136,0.0772765,0.136755	0.353999,0.350244,0.281042,0.290504,0.378651,0.375987,0.384054,0.325116,0.248964,0.305014,0.378129,0.233533,0.294276,0.319525,0.352748,0.340041,0.358932,0.385766,0.336286,0.387008	-0.2706,-0.213984,-0.158979,-0.158215,-0.284745,-0.19497,-0.309144,-0.161789,-0.11617,-0.146318,-0.288546,-0.0853878,-0.208612,-0.218247,-0.313956,-0.278711,-0.277452,-0.308855,-0.26592,-0.264237
0.579409,0.564315,0.438526,0.448121,0.62799,0.535896,0.608313,0.472165,0.378019,0.453256,0.597467,0.350107,0.481771,0.566304,0.612906,0.566155,0.600862,0.62674,0.573175,0.606954	0.440296,0.443724,0.338588,0.352384,0.460855,0.427626,0.439124,0.397476,0.329012,0.377075,0.428055,0.30972,0.356303,0.432588,0.424004,0.416215,0.466455,0.438668,0.421097,0.453927	0.186757,0.160875,0.117364,0.113689,0.235207,0.140458,0.230857,0.091945,0.0559679,0.0918861,0.227627,0.0452985,0.151469,0.177102,0.25523,0.196165,0.186748,0.259385,0.200463,0.211222
0.257769,0.272075,0.204525,0.242744,0.275899,0.301746,0.275124,0.252668,0.200055,0.234863,0.276096,0.214063,0.220358,0.246265,0.231231,0.226411,0.253744,0.25645,0.230041,0.282834	0.389634,0.358187,0.277704,0.319124,0.389725,0.378907,0.410034,0.344066,0.283154,0.314046,0.40524,0.268243,0.315137,0.343174,0.362683,0.362376,0.395676,0.376012,0.34583,0.390275	-0.146587,-0.09541,-0.0775854,-0.0827935,-0.127539,-0.0871229,-0.152065,-0.1001,-0.0880883,-0.0854885,-0.145414,-0.0574799,-0.101852,-0.105855,-0.143486,-0.148117,-0.157773,-0.132321,-0.125797,-0.120772
0.0914905,0.13576,0.108651,0.14131,0.0875595,0.180352,0.0630907,0.160438,0.117654,0.151485,0.0863657,0.148984,0.0779078,0.0887139,0.0322569,0.0439457,0.0711234,0.045764,0.0802856,0.120216	0.366756,0.348116,0.280319,0.308268,0.377379,0.369752,0.377414,0.32706,0.251746,0.309366,0.393213,0.244124,0.291585,0.312904,0.359639,0.330758,0.354275,0.361314,0.351158,0.387346	-0.284823,-0.22289,-0.177061,-0.174562,-0.299723,-0.202933,-0.32199,-0.175849,-0.138185,-0.165643,-0.317634,-0.0987309,-0.218644,-0.230591,-0.331224,-0.291042,-0.290471,-0.320855,-0.278731,-0.280176
0.241149,0.209993,0.0546835,0.199442,0.303978,0.168099,0.257226,0.196549,0.113274,0.21754,0.30624,0.208152,0.273944,0.215512,0.340099,0.31706,0.288018,0.359129,0.293324,0.288769	0.17441,0.136569,0.069421,0.165799,0.248302,0.11547,0.207561,0.186117,0.0888682,0.208379,0.179334,0.17118,0.264883,0.147938,0.265203,0.250423,0.219059,0.290633,0.185312,0.210698	0.0696697,0.0755917,-0.0147937,0.0347934,0.0602206,0.0536707,0.0524665,0.0108273,0.0246541,0.00959563,0.134281,0.038338,0.00976963,0.0697995,0.0823211,0.0723845,0.0736025,0.076478,0.114221,0.083129
-0.063756,-0.0793799,-0.0998901,-0.0505088,-0.04102,-0.0656144,-0.0909653,-0.0320416,-0.0220712,-0.0180054,-0.0660763,-0.0162653,-0.0693986,-0.0483059,-0.0567008,-0.0705055,-0.0728847,-0.0363031,-0.0322442,-0.0498033	0.118619,0.0787502,0.0621224,0.0807024,0.147946,0.0456557,0.129747,0.0635395,0.026499,0.073384,0.106834,0.0256513,0.128764,0.0708928,0.133403,0.12178,0.083746,0.180163,0.100805,0.131118	-0.181006,-0.157148,-0.161013,-0.130679,-0.187827,-0.110938,-0.218138,-0.0953869,-0.0485418,-0.0912687,-0.171699,-0.0418991,-0.196408,-0.118792,-0.188676,-0.190649,-0.15568,-0.215059,-0.132618,-0.179747
0.254318,0.198586,0.0632759,0.195305,0.327014,0.173474,0.272642,0.202312,0.0999137,0.239375,0.319243,0.211425,0.295689,0.229416,0.34469,0.332562,0.292575,0.379982,0.282568,0.297244	0.183361,0.0969286,0.0626467,0.158515,0.249794,0.0925741,0.196049,0.183695,0.0528836,0.202737,0.162614,0.162947,0.262927,0.123323,0.242137,0.247071,0.197145,0.277433,0.175854,0.198415	0.074428,0.103652,0.000631756,0.0379652,0.0840893,0.0822201,0.0809183,0.0193356,0.0472799,0.0385063,0.165206,0.0502084,0.0355238,0.109182,0.111891,0.0931438,0.10127,0.114634,0.112294,0.105024
-0.118879,-0.0707074,-0.0632141,-0.0782525,-0.161072,-0.154385,-0.123443,-0.106755,-0.0514442,-0.0870538,-0.146915,-0.0859478,-0.105578,-0.100931,-0.169217,-0.155293,-0.100471,-0.17895,-0.0905123,-0.120028	-0.169736,-0.146731,-0.0807887,-0.104682,-0.174773,-0.14974,-0.141595,-0.107148,-0.126209,-0.11561,-0.229109,-0.100042,-0.0926841,-0.219314,-0.225294,-0.137422,-0.191444,-0.209652,-0.160231,-0.133098	0.0519045,0.0768209,0.0176648,0.0266479,0.0140978,-0.0047555,0.0184752,0.000397878,0.075253,0.0288462,0.0850569,0.0142169,-0.0130217,0.121063,0.0583,-0.0182603,0.0927572,0.0318996,0.0707446,0.0132828
-0.0666381,-0.0522604,-0.0450885,-0.035909,-0.0128598,-0.0229492,-0.0778478,0.0274658,0.0116139,-0.00332038,-0.114696,-0.015622,-0.0647142,-0.0430734,-0.0750003,-0.076809,-0.0417943,-0.050633,-0.0323111,-0.026052	0.183395,0.183919,0.104969,0.127293,0.240334,0.14446,0.204476,0.132846,0.0837837,0.0969337,0.180527,0.0548872,0.142411,0.151885,0.187895,0.180417,0.189657,0.233081,0.209273,0.233501	-0.247014,-0.233931,-0.149351,-0.16246,-0.252414,-0.166856,-0.2779,-0.105766,-0.07224,-0.100222,-0.289234,-0.0704488,-0.205234,-0.193691,-0.259242,-0.25371,-0.229631,-0.280405,-0.239961,-0.257984
