library,COI,RGR
S_5_S63_L003,40,0.017337558
S_501_S43,0,0.033449921
S_509_S109,0,0.026619826
S_515_S58,0,0.027725887
S_516_S138,0,0.019508128
S_517_S20_L003,70,0.025413104
S_522_S10,30,0.030393542
S_524_S33_L003,3,0.01854291
S_525_S305,0,0.020929926
S_528_S103,30,0.033132878
S_529_S314,2,0.012961989
S_533_S68,6,0.015034586
S_537_S78_L003,60,0.020433025
S_545_S69,1.5,0.029428272
S_550_S257,75,0.031290998
S_552_S308,3,0.036997952
S_557_S159,0,0.021891812
S_564_S211,9,0.031398189
S_565_S149,18,0.019756366
S_567_S165,0,0.02493869
S_572_S203,0,0.021861748
S_574_S155,0,0.030364206
S_591_S99,5,0.020309758
S_597_S255,12,0.022446028
S_6_S348,5,0.018762248
S_627_S83,18,0.024901185
S_629_S113,10,0.043601142
S_63_S170,0,0.019076963
S_630_S51_L003,20,0.034790829
S_631_S87_L003,15,0.038937966
S_640_S178,0,0.018189446
S_646_S142,2.5,0.020987306
S_65_S29_L003,20,0.026114931
S_650_S129,22.5,0.029574401
S_652_S232,40,0.025225073
S_653_S6,30,0.02792945
S_656_S181,30,0.031700786
S_657_S154,25,0.021942638
S_658_S33,70,0.022384632
S_66_S321,50,0.032988942
S_662_S98,0.5,0.045399197
S_673_S40_L003,4,0.032670445
S_674_S130,0,0.023129532
S_679_S9,2.5,0.031779987
S_685_S121,3,0.033648011
S_695_S46,40,0.0344593
S_696_S88,30,0.025003749
S_699_S356,5,0.026157059
S_7_S141,3,0.016748413
S_701_S340,20,0.027517009
S_704_S282,30,0.018472722
S_706_S108,2.5,0.020578216
S_711_S50,5,0.020795018
S_712_S136,4.5,0.034147915
S_713_S163,10,0.02562628
S_714_S34_L003,6,0.016748413
S_716_S283,12,0.013458889
S_726_S69_L003,60,0.026673195
S_732_S243,42,0.026136274
S_733_S67_L003,2.5,0.015736089
S_737_S201,56.25,0.013750862
S_738_S39,6,0.035594299
S_758_S128,50,0.028920006
S_762_S173,20,0.028293273
S_764_S93_L003,70,0.051514172
S_765_S48,3,0.030211158
S_769_S220,1,0.038742366
S_770_S57_L003,4,0.023014566
S_772_S58_L003,0,0.023420661
S_779_S94_L003,0,0.03262998
S_797_S209,0,0.037994681
S_809_S270,50,0.035638917
S_81_S279,6,0.030871612
S_813_S44_L003,25,0.034247472
S_824_S40,0,0.047908128
S_825_S71,2.5,0.037181438
S_826_S8_L003,6,0.01976074
S_829_S286,20,0.043944492
S_83_S14,0,0.039941153
S_831_S353,50,0.01231133
S_837_S50_L003,50,0.051083803
S_838_S306,25,0.034408051
S_840_S88_L003,10,0.037232753
S_844_S151,0,0.033316365
S_85_S36_L003,2,0.006974135
S_856_S174,10,0.026023503
S_861_S22_L003,40,0.043944492
S_865_S82,10,0.026883751
S_868_S274,1.5,0.031776037
S_869_S241,6,0.025865087
S_87_S81,30,0.034021574
S_874_S217,30,0.016353058
S_879_S97,3,0.026455939
S_881_S365,60,0.01492817
S_885_S77,0.5,0.022841779
S_89_S199,0,0.027017904
S_9_S300,60,0.024080871
S_901_S136,NA,0.034833134
S_905_S248,0.5,0.03026276
S_927_S334,0,0.032928012
S_932_S42_L003,3,0.023123114
S_961_S70_L003,48,0.024686451
S_962_S42,5,0.023083
S_969_S19_L003,7,0.033293772
S_972_S142,0,0.033730624
S_978_S90,0,0.018504941
S_983_S4,0,0.041838742
S_984_S370,5,0.031023634
S_985_S131,1,0.024524179
S_989_S196,2.5,0.035492128
S_993_S55,0.5,0.026599052
