site,long,lat,V1,V2,V3
NSW_1079724_S103,-32.58366008 152.2830159,152.2830159,-32.58366008,0.309017,0.679927,0.0110564
NSW_1079725_S116,-32.40455938 152.4550092,152.4550092,-32.40455938,0.225895,0.774005,9.9991e-05
NSW_1079726_S150,-31.70961823 152.7898261,152.7898261,-31.70961823,0.737781,0.262119,9.9991e-05
NSW_1079727_S51,-32.58364896 152.2830206,152.2830206,-32.58364896,0.193064,0.790294,0.0166426
NSW_1079728_S117,-32.75247562 152.1225817,152.1225817,-32.75247562,0.330153,0.66497,0.00487648
NSW_1079729_S53,-32.58534845 152.281299,152.281299,-32.58534845,0.242109,0.757791,9.9991e-05
NSW_1079730_S35,-32.40517351 152.4501677,152.4501677,-32.40517351,0.287822,0.712078,9.9991e-05
NSW_1079731_S60,-31.71631709 152.791639,152.791639,-31.71631709,0.687178,0.312722,9.9991e-05
NSW_1079732_S58,-32.40455719 152.4550025,152.4550025,-32.40455719,0.308955,0.690945,9.9991e-05
NSW_1079733_S106,-32.58106381 152.2854511,152.2854511,-32.58106381,0.244893,0.747263,0.00784387
NSW_1079734_S41,-32.59184361 152.272363,152.272363,-32.59184361,0.240973,0.756887,0.00213937
NSW_1079735_S61,-31.71631504 152.7916554,152.7916554,-31.71631504,0.615687,0.38391,0.000402099
NSW_1079736_S147,-31.71824925 152.7925521,152.7925521,-31.71824925,0.68186,0.317834,0.000306401
NSW_1079737_S65,-32.59188917 152.2724035,152.2724035,-32.59188917,0.24739,0.75251,9.9991e-05
NSW_1079738_S149,-31.68884571 152.7937629,152.7937629,-31.68884571,0.613733,0.357608,0.0286581
NSW_1079739_S27,-31.69862089 152.7916118,152.7916118,-31.69862089,0.710872,0.289028,9.9991e-05
NSW_1079740_S104,-32.24914199 152.5377314,152.5377314,-32.24914199,0.370467,0.629433,9.9991e-05
NSW_1079741_S59,-31.33082294 152.9575479,152.9575479,-31.33082294,0.767244,0.232656,9.9991e-05
NSW_1079743_S167,-31.71505587 152.7912195,152.7912195,-31.71505587,0.631975,0.367925,9.9991e-05
NSW_1079744_S45,-32.25109305 152.5364718,152.5364718,-32.25109305,0.511124,0.439867,0.0490082
NSW_1079745_S49,-31.49982136 152.9005251,152.9005251,-31.49982136,0.79705,0.197589,0.00536128
NSW_1079746_S114,-31.33168946 152.9570097,152.9570097,-31.33168946,0.786831,0.211351,0.00181768
NSW_1079747_S47,-31.0495524 153.03983,153.03983,-31.0495524,0.847753,0.141283,0.0109637
NSW_1079748_S30,-32.25015074 152.5368591,152.5368591,-32.25015074,0.464558,0.535342,9.9991e-05
NSW_1079750_S94,-31.50047217 152.8997563,152.8997563,-31.50047217,0.705111,0.278909,0.0159803
NSW_1079751_S140,-31.33080433 152.9575655,152.9575655,-31.33080433,0.731395,0.26567,0.00293484
NSW_1079752_S38,-31.03003889 153.0250251,153.0250251,-31.03003889,0.773503,0.226397,9.9991e-05
NSW_1079753_S29,-32.25012837 152.5368438,152.5368438,-32.25012837,0.437473,0.562427,9.9991e-05
NSW_1079755_S92,-31.50046378 152.8997506,152.8997506,-31.50046378,0.614708,0.382446,0.00284578
NSW_1079756_S139,-31.32818962 152.9589881,152.9589881,-31.32818962,0.771304,0.228596,9.9991e-05
NSW_1079758_S161,-32.25109093 152.5364798,152.5364798,-32.25109093,0.398869,0.601031,9.9991e-05
NSW_1079760_S91,-31.50147069 152.8986933,152.8986933,-31.50147069,0.715567,0.276061,0.00837245
NSW_1079761_S174,-31.32815482 152.9590002,152.9590002,-31.32815482,0.86241,0.13749,9.9991e-05
NSW_1079762_S63,-31.3139559 152.9694803,152.9694803,-31.3139559,0.746388,0.253512,9.9991e-05
NSW_1079763_S172,-31.70962811 152.789829,152.789829,-31.70962811,0.61324,0.38666,9.9991e-05
NSW_1079765_S62,-31.31318018 152.9667334,152.9667334,-31.31318018,0.71612,0.276113,0.00776699
NSW_1079766_S110,-31.30981403 152.9633359,152.9633359,-31.30981403,0.682916,0.308577,0.00850722
NSW_1079767_S108,-31.30749914 152.9628195,152.9628195,-31.30749914,0.8316,0.1683,9.9991e-05
NSW_1079768_S146,-32.25129137 152.5365557,152.5365557,-32.25129137,0.40859,0.59131,9.9991e-05
NSW_1079772_S151,-31.50224463 152.8982869,152.8982869,-31.50224463,0.649411,0.350489,9.9991e-05
NSW_1079773_S141,-32.25249922 152.5306496,152.5306496,-32.25249922,0.401586,0.596894,0.00151924
NSW_1079774_S113,-31.33168946 152.9570097,152.9570097,-31.33168946,0.781764,0.218136,9.9991e-05
NSW_1079778_S28,-32.25249091 152.5306509,152.5306509,-32.25249091,0.298638,0.701262,9.9991e-05
NSW_1079779_S173,-31.31946985 152.9668781,152.9668781,-31.31946985,0.832249,0.167651,9.9991e-05
NSW_1079783_S55,-31.05007697 153.0415239,153.0415239,-31.05007697,0.837796,0.162104,9.9991e-05
NSW_1079784_S96,-31.49350321 152.9038629,152.9038629,-31.49350321,0.72396,0.274073,0.00196676
NSW_1079788_S39,-31.04981504 153.0406556,153.0406556,-31.04981504,0.781366,0.199496,0.019138
NSW_1079789_S159,-31.49418374 152.9035492,152.9035492,-31.49418374,0.69958,0.30032,9.9991e-05
NSW_1079793_S164,-31.0492059 153.0393076,153.0393076,-31.0492059,0.765097,0.216672,0.0182311
NSW_1079794_S93,-31.49420354 152.9035574,152.9035574,-31.49420354,0.812858,0.187042,9.9991e-05
NSW_1079798_S31,-31.04851124 153.0380382,153.0380382,-31.04851124,0.858241,0.138095,0.00366383
NSW_1079799_S40,-31.30753143 152.9627998,152.9627998,-31.30753143,0.733772,0.263673,0.00255567
NSW_1079803_S42,-31.02313825 153.0207133,153.0207133,-31.02313825,0.802684,0.195628,0.00168838
NSW_1079804_S142,-31.49540748 152.9030448,152.9030448,-31.49540748,0.700622,0.299278,9.9991e-05
NSW_1079808_S163,-31.02977903 153.0255807,153.0255807,-31.02977903,0.676427,0.320028,0.00354444
NSW_1079809_S152,-31.50223666 152.8982914,152.8982914,-31.50223666,0.751103,0.248797,9.9991e-05
NSW_1079813_S111,-31.03043342 153.0241479,153.0241479,-31.03043342,0.793796,0.206104,9.9991e-05
NSW_1079814_S43,-31.49585756 152.9025959,152.9025959,-31.49585756,0.751544,0.248356,9.9991e-05
NSW_1079818_S112,-31.03060077 153.0237167,153.0237167,-31.03060077,0.746191,0.253709,9.9991e-05
NSW_1079819_S95,-31.49680026 152.9023225,152.9023225,-31.49680026,0.77213,0.22777,9.9991e-05
NSW_1079821_S153,-31.68235956 152.8002216,152.8002216,-31.68235956,0.643233,0.356667,9.9991e-05
NSW_1080758_S120,-30.18909914 153.1615232,153.1615232,-30.18909914,0.78667,0.178293,0.0350372
NSW_1080761_S119,-30.18909784 153.1615165,153.1615165,-30.18909784,0.733255,0.245552,0.0211925
NSW_1080762_S23,-30.19164058 153.1644314,153.1644314,-30.19164058,0.803017,0.179253,0.0177304
NSW_1080763_S5,-30.03875313 153.1961878,153.1961878,-30.03875313,0.893655,0.0653715,0.0409737
NSW_1080764_S72,-29.85198428 153.2637667,153.2637667,-29.85198428,0.896399,0.0650691,0.0385323
NSW_1080765_S7,-30.03709778 153.1968916,153.1968916,-30.03709778,0.883963,0.0892023,0.026835
NSW_1080766_S81,-29.85212664 153.2629126,153.2629126,-29.85212664,0.917022,0.0497125,0.0332656
NSW_1080767_S123,-30.18913757 153.1614909,153.1614909,-30.18913757,0.901773,0.0966609,0.00156634
NSW_1080768_S12,-30.03595822 153.1971047,153.1971047,-30.03595822,0.884437,0.113772,0.00179054
NSW_1080769_S3,-30.03644305 153.1972206,153.1972206,-30.03644305,0.940468,0.0216907,0.0378409
NSW_1080771_S4,-30.03812797 153.1965677,153.1965677,-30.03812797,0.973484,9.9991e-05,0.0264155
NSW_1080772_S124,-30.18911622 153.1615077,153.1615077,-30.18911622,0.892906,0.106994,9.9991e-05
NSW_1080773_S8,-30.03477256 153.1975396,153.1975396,-30.03477256,0.865667,0.102241,0.0320915
NSW_1080774_S14,-30.03558083 153.1972502,153.1972502,-30.03558083,0.942582,0.0446094,0.0128086
NSW_1080775_S9,-30.03464414 153.1976471,153.1976471,-30.03464414,0.894801,0.060926,0.044273
NSW_1080776_S15,-30.03812084 153.1965746,153.1965746,-30.03812084,0.849437,0.129203,0.0213607
NSW_1080777_S133,-29.85199418 153.2709712,153.2709712,-29.85199418,0.935594,0.0464633,0.0179431
NSW_1080778_S6,-29.85293685 153.2701393,153.2701393,-29.85293685,0.911899,0.0485779,0.0395232
NSW_1080780_S121,-30.18916854 153.1616169,153.1616169,-30.18916854,0.830544,0.150382,0.019074
NSW_1080781_S11,-29.85200872 153.2619853,153.2619853,-29.85200872,0.818034,0.159985,0.021981
NSW_1080782_S10,-29.8522382 153.262396,153.262396,-29.8522382,0.965625,0.028592,0.00578277
NSW_1080784_S71,-29.85248481 153.2632438,153.2632438,-29.85248481,0.930577,0.0389353,0.030488
NSW_1080785_S80,-30.03477256 153.1975396,153.1975396,-30.03477256,0.893423,0.0762462,0.0303312
NSW_1080786_S79,-29.85176414 153.26967,153.26967,-29.85176414,0.981362,0.00860161,0.0100366
NSW_1080787_S84,-29.85197584 153.2709461,153.2709461,-29.85197584,0.81476,0.184335,0.000904767
NSW_1074423_1_S169,-33.2049692 151.5481722,151.5481722,-33.2049692,9.9991e-05,0.991906,0.00799372
NSW_1075705_1_S177,-32.7619675 151.7834637,151.7834637,-32.7619675,0.0825341,0.917366,9.9991e-05
NSW_1075706_1_S178,-32.7629435 151.7841001,151.7841001,-32.7629435,0.135978,0.863922,9.9991e-05
NSW_1075707_1_S182,-32.7619695 151.7834591,151.7834591,-32.7619695,0.142915,0.856985,9.9991e-05
NSW_1075708_1_S184,-32.7626059 151.7842473,151.7842473,-32.7626059,9.9991e-05,0.999049,0.000851349
NSW_1075710_1_S183,-32.7677709 151.7871565,151.7871565,-32.7677709,0.187863,0.812037,9.9991e-05
NSW_1075711_1_S180,-32.7676678 151.7873916,151.7873916,-32.7676678,0.1221,0.8778,9.9991e-05
NSW_1075713_1_S175,-32.7645357 151.7869508,151.7869508,-32.7645357,0.138115,0.861785,9.9991e-05
NSW_1075718_1_S190,-33.4928454 151.422143,151.422143,-33.4928454,0.0901393,0.885182,0.024679
NSW_1075719_1_S189,-33.4928905 151.4190434,151.4190434,-33.4928905,9.999e-05,0.9998,9.999e-05
NSW_1075720_1_S188,-33.4900754 151.4189252,151.4189252,-33.4900754,0.0417052,0.927041,0.0312537
NSW_1075721_1_S185,-33.4917287 151.4165608,151.4165608,-33.4917287,0.0352644,0.96076,0.00397534
NSW_1075722_1_S187,-33.4881471 151.4189252,151.4189252,-33.4881471,0.412834,0.540658,0.0465073
NSW_1075723_1_S186,-33.4925003 151.4171656,151.4171656,-33.4925003,0.0721158,0.912937,0.0149473
NSW_1079653_1_S168,-33.20286067 151.5474484,151.5474484,-33.20286067,0.061641,0.927796,0.0105625
NSW_1079658_1_S171,-32.75007599 152.1210819,152.1210819,-32.75007599,0.286061,0.677937,0.0360026
NSW_1079675_1_S166,-33.21130892 151.5512911,151.5512911,-33.21130892,9.9991e-05,0.951189,0.0487114
NSW_1079702_1_S170,-32.75007599 152.1210819,152.1210819,-32.75007599,9.999e-05,0.9998,9.999e-05
NSW_1079712_1_S165,-33.2118398 151.5518817,151.5518817,-33.2118398,9.999e-05,0.9998,9.999e-05
NSW_1079761_1_S174,-31.32815482 152.9590002,152.9590002,-31.32815482,0.894576,0.105324,9.9991e-05
NSW_1079763_1_S172,-31.70962811 152.789829,152.789829,-31.70962811,0.651139,0.348761,9.9991e-05
NSW_1079779_1_S173,-31.31946985 152.9668781,152.9668781,-31.31946985,0.804229,0.195671,9.9991e-05
NSW1158797_S116,-12.43 143.11,143.11,-12.43,0.153999,9.9991e-05,0.845901
NSW1158799_S114,-12.43 143.11,143.11,-12.43,0.0649558,0.0905724,0.844472
NSW1158801_S112,-12.43 143.11,143.11,-12.43,9.999e-05,9.999e-05,0.9998
NSW1158805_S110,-12.43 143.11,143.11,-12.43,9.999e-05,9.999e-05,0.9998
NSW1158806_S111,-12.43 143.11,143.11,-12.43,0.434484,0.340359,0.225157
NSW1158807_S104,-18.1532 146.0054,146.0054,-18.1532,0.178768,0.0063972,0.814835
NSW1158808_S105,-18.1532 146.0054,146.0054,-18.1532,0.20604,0.0233245,0.770636
NSW1158810_S109,-12.43 143.11,143.11,-12.43,9.9991e-05,0.112151,0.887749
NSW1158811_S108,-18.1532 146.0054,146.0054,-18.1532,0.17317,0.00545033,0.82138
NSW1158812_S101,-18.1532 146.0054,146.0054,-18.1532,0.17852,0.00501742,0.816462
NSW1158813_S102,-18.1532 146.0054,146.0054,-18.1532,0.181184,9.9991e-05,0.818716
NSW1158814_S103,-18.1532 146.0054,146.0054,-18.1532,0.150382,0.037175,0.812443
NSW1158816_S98,-13.44 143.19,143.19,-13.44,0.0710379,9.9991e-05,0.928862
NSW1158817_S99,-13.44 143.19,143.19,-13.44,9.999e-05,9.999e-05,0.9998
NSW1158818_S100,-13.44 143.19,143.19,-13.44,9.999e-05,9.999e-05,0.9998
